"구분별(1)",구분별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"구분별(1)",구분별(2),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),유튜브 (%),넷플릭스(Netflix) (%),에브리온 TV (%),카카오 TV (%),네이버 TV캐스트 (%),네이버 V앱 (%),다음 tv팟 (%),곰 TV (%),아프리카 TV (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),에브리온 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),넷플릭스(Netflix) (%),에브리온 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),기타 (%),사례수 (명),티빙(Tving) (%),푹(Pooq) (%),oksusu(구 호핀 SK Btv 모바일) (%),olleh TV 모바일 (%),U+모바일TV(LTE 비디오포털(구 LG U+ HDTV LG U+ HDTV)) (%),유튜브 (%),넷플릭스(Netflix) (%),에브리온 TV (%),카카오 TV (%),곰 TV (%),네이버 시리즈(구 네이버N 스토어) (%),아마존 프라임 비디오 (%),기타 (%)
"월평균소득",500만원이상,8.2,49.4,18.3,18.3,17.6,0.0,14.8,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,18.4,20.8,7.1,31.2,20.8,35.0,0.0,0.0,3.3,9.6,17.1,14.9,0.0,33.0,39.5,6.7,5.9,0.0,9.5,0.0,0.0,38.6,22.1,16.1,13.9,2.3,13.4,44.9,5.5,0.0,11.2,0.0,0.0,0.0,0.0
"학력1",미취학,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"학력1",초졸이하,12.5,21.4,0.0,26.1,19.7,0.0,35.1,0.0,0.0,11.7,0.0,0.0,0.0,0.0,13.9,0.0,7.4,15.7,0.0,32.1,1.4,38.9,0.0,11.9,0.0,0.0,39.0,17.4,10.2,16.0,15.1,13.3,0.0,6.9,14.4,24.8,0.0,80.6,7.0,1.1,1.4,4.1,6.1,77.6,16.8,0.0,20.7,5.8,0.0,0.0,0.0
"학력1",중졸이하,31.1,22.6,8.2,21.3,16.3,8.9,32.2,0.0,0.0,3.6,3.6,13.5,0.0,3.6,15.3,0.0,18.0,2.7,0.0,53.6,4.2,13.7,0.0,11.6,14.2,0.0,25.3,26.9,18.3,13.1,0.0,14.4,5.3,5.4,21.6,0.5,0.0,48.6,7.8,2.3,0.0,13.7,0.0,73.4,3.4,0.0,20.3,2.2,4.1,0.0,0.0
"학력1",고졸이하,129.3,25.4,15.1,22.6,13.6,2.1,25.6,0.0,0.0,8.6,1.7,2.8,6.3,4.3,15.8,1.3,135.8,26.3,8.9,37.9,14.8,9.0,3.5,7.0,6.0,0.0,273.9,25.7,10.8,18.0,16.6,13.0,1.9,1.9,13.1,6.8,0.2,334.6,10.5,7.0,9.4,3.5,7.2,64.7,8.3,0.0,14.9,2.9,2.5,0.0,0.8
"학력1",대졸이하,333.3,19.0,10.6,24.3,7.3,6.0,25.9,1.3,0.5,5.5,11.9,3.0,3.2,3.1,15.6,0.0,265.6,29.8,18.1,29.4,11.0,9.5,0.8,3.7,4.0,2.8,653.9,25.2,11.3,23.9,11.4,13.9,2.7,0.8,13.7,4.9,1.1,974.8,15.4,6.6,14.4,7.0,6.7,61.6,17.3,0.2,20.4,6.1,4.5,1.1,0.6
"학력1",대학원재학이상,15.8,59.3,17.2,0.0,0.0,44.0,9.6,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,6.1,13.2,8.9,17.9,0.0,39.7,0.0,20.3,0.0,0.0,24.3,9.4,4.2,53.2,7.5,9.8,12.3,4.7,11.2,2.7,0.0,28.2,13.9,2.4,10.7,16.8,7.0,83.7,6.4,0.0,11.6,11.5,19.3,0.0,4.3
"지역",서울,151.7,23.7,18.6,34.6,12.2,5.5,16.9,0.0,0.7,10.3,2.9,1.7,5.0,4.7,7.2,0.0,182.3,24.5,16.1,38.1,9.8,10.3,1.2,2.2,3.5,0.0,260.8,26.8,3.9,32.4,11.2,20.2,0.0,1.4,4.1,4.6,2.1,299.5,16.1,2.3,29.6,10.7,8.0,41.3,18.5,0.0,12.1,2.5,3.4,0.2,0.0
"지역",부산,6.3,75.1,24.9,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,86.4,13.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,28.9,47.7,0.0,0.0,0.0,0.0,23.4,0.0,7.6,0.0,14.0,8.5,0.0,0.0,41.9,34.4,0.0,9.7,0.0,0.0,0.0,0.0
"지역",대구,33.3,21.2,4.2,13.8,13.2,1.3,32.0,0.0,0.0,3.8,26.1,13.7,0.8,0.0,0.0,0.0,20.3,26.8,40.5,9.9,12.4,23.7,0.0,0.0,3.9,10.3,34.4,23.1,33.9,21.0,6.8,18.6,8.3,0.0,0.0,1.5,0.0,98.6,9.1,11.3,7.6,3.2,6.4,58.8,17.7,1.2,2.7,0.5,8.1,0.5,2.8
"지역",인천,28.6,0.0,10.8,15.8,0.0,0.0,30.0,8.0,0.0,10.1,43.4,3.9,0.0,6.1,6.4,0.0,25.8,29.3,26.8,24.5,9.9,4.3,0.0,4.7,3.7,0.0,23.1,17.6,13.2,26.3,12.2,13.8,8.1,0.0,3.4,3.3,2.1,49.4,2.7,0.5,11.0,0.0,7.3,58.0,10.9,0.0,25.8,0.0,0.8,0.7,1.6
"지역",광주,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.6,20.1,0.0,0.0,0.0,0.0,0.0,0.0,79.9,0.0,4.0,0.0,0.0,33.7,0.0,0.0,11.7,40.3,14.4,0.0,0.0,48.7,18.2,0.0,1.2,0.9,0.0,95.2,36.1,0.0,76.0,8.9,2.8,11.9,0.0
"지역",대전,3.9,47.4,21.4,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,1.4,0.0,38.3,61.7,0.0,0.0,0.0,0.0,0.0,0.0,67.5,34.0,11.9,6.4,3.7,0.3,0.0,2.1,36.1,5.8,0.0,114.1,11.8,1.0,0.6,1.0,5.7,87.4,6.6,0.0,32.6,10.2,3.6,0.0,0.0
"지역",울산,0.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,24.1,14.0,0.0,4.9,0.0,48.3,13.5,0.0,17.5,16.7,0.0,12.0,8.3,0.0,0.0,0.0,0.0,71.8,98.3,0.0,0.0,5.8,0.0,0.0,0.0
"지역",경기,199.9,25.7,11.6,25.3,8.9,6.3,26.2,0.0,0.3,6.6,7.8,4.1,4.0,4.4,15.7,0.9,133.0,23.6,8.4,34.7,10.1,13.3,0.0,3.1,4.8,3.9,241.5,20.6,17.9,25.6,13.0,16.2,4.8,0.2,6.6,5.4,0.4,358.8,19.9,13.5,16.4,9.2,8.7,45.4,8.3,0.0,7.0,2.1,5.0,0.0,1.0
"지역",강원,14.0,0.0,0.0,10.7,36.7,45.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,29.1,52.1,1.9,2.6,50.8,0.0,24.4,33.9,4.4,0.0,29.3,35.3,15.9,3.3,32.8,0.0,0.0,0.0,29.6,0.0,3.0,35.3,3.4,1.4,3.8,29.9,4.4,72.7,21.4,2.0,5.4,11.2,0.0,0.0,1.4
"지역",충북,22.6,4.8,8.0,0.0,0.0,0.0,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,4.8,5.1,0.0,0.0,0.0,36.1,0.0,58.9,0.0,0.0,103.7,46.5,8.4,18.6,8.9,7.8,5.0,0.0,15.2,8.9,0.0,115.0,7.9,1.3,3.9,0.8,7.6,97.4,8.6,0.0,25.4,22.6,10.5,0.0,1.2
"지역",충남,3.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,1.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5,16.1,7.6,8.8,8.1,2.4,1.4,5.3,48.1,11.0,0.0,81.8,4.9,2.0,0.8,1.0,1.9,87.7,8.6,0.0,20.3,8.1,0.0,3.8,0.0
"지역",전북,14.4,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6,0.0,-,-,-,-,-,-,-,-,-,-,27.6,10.4,4.0,15.6,38.6,28.8,0.0,0.0,0.0,2.6,0.0,123.7,11.0,2.7,4.9,2.2,6.7,97.2,16.3,0.0,49.6,8.0,2.2,0.5,0.0
"지역",전남,5.2,24.4,0.0,32.7,0.0,27.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,8.6,0.0,0.0,3.5,0.0,91.4,46.5,0.0,88.0,0.0,0.0,0.0,0.0
"지역",경북,34.4,36.4,2.2,17.9,0.0,4.7,50.7,6.1,0.0,3.5,7.9,0.0,6.1,0.0,10.8,0.0,19.9,49.5,4.2,38.4,0.0,0.0,0.0,32.7,35.1,0.0,30.5,30.6,1.4,37.4,21.6,5.6,0.0,7.0,0.0,1.2,0.0,59.3,17.4,11.9,0.9,7.8,7.0,45.1,17.0,0.6,3.7,0.0,4.6,0.0,0.0
"지역",경남,0.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,13.6,27.7,34.2,25.1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,36.2,11.5,0.0,0.0,9.3,2.0,80.0,6.9,0.0,0.0,0.0,0.0,0.0,1.9
"지역",제주,1.4,0.0,0.0,0.0,92.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,60.9,39.1,0.0,0.0,0.0,0.0,0.0,10.2,0.0,21.0,23.0,55.2,0.8,0.0,0.0,0.0,0.0,0.0,4.5,22.9,25.8,22.9,23.1,0.0,38.1,9.9,0.0,0.0,0.0,0.0,0.0,0.0
"지역",세종,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.4,9.1,47.7,12.1,27.7,12.5,9.1,0.0,17.1,12.5,0.0,8.1,0.0,83.2,0.0,0.0,0.0,100.0,0.0,0.0,16.8,0.0,0.0,0.0,0.0
"지역구분2",시부,445.4,19.2,11.5,24.4,8.8,6.6,25.6,0.9,0.3,6.6,8.2,3.5,4.0,1.9,11.7,0.4,416.2,27.7,14.5,32.9,11.2,11.0,1.6,4.2,4.9,1.8,935.6,24.2,11.7,23.7,12.9,14.7,2.6,1.2,11.7,6.2,0.8,1407.0,13.8,6.2,12.4,6.3,6.8,63.2,14.6,0.2,19.2,5.3,4.1,0.8,0.7
"지역구분2",군부,76.6,45.1,11.2,11.3,14.4,3.5,28.2,0.0,0.0,3.8,9.8,2.0,0.0,14.5,43.0,0.0,16.7,10.3,2.1,34.8,18.7,0.0,0.0,37.5,4.8,0.0,80.8,31.5,5.2,7.8,8.8,0.9,4.1,6.0,36.9,3.2,0.0,62.1,7.5,4.9,3.0,8.6,0.0,85.0,12.5,0.0,13.4,5.7,3.3,0.0,0.8
"종사상지위",임금근로자,292.5,24.5,12.8,22.7,10.8,6.0,22.6,0.0,0.0,8.1,4.8,1.7,2.1,2.6,15.2,0.0,233.6,32.6,15.4,28.6,13.9,10.7,2.9,1.7,2.0,1.2,589.3,26.4,11.4,25.2,11.8,15.1,1.6,1.5,12.2,5.0,0.2,766.8,14.5,8.2,13.4,6.0,7.5,61.2,13.2,0.3,20.4,5.4,4.2,1.1,0.6
"종사상지위",고용주,2.0,0.0,0.0,0.0,0.0,12.2,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.9,32.2,26.3,0.0,0.0,0.0,0.0,16.6,11.5,11.8,27.8,17.6,21.0,26.9,0.0,0.0,0.0,8.9,0.0,0.0,28.4,36.8,19.5,22.8,0.0,5.5,58.9,9.0,0.0,0.8,0.8,0.0,0.0,0.0
"종사상지위",단독자영업자,30.3,20.2,17.6,51.7,4.9,6.4,10.3,0.0,0.0,0.0,5.3,0.0,4.9,0.0,2.2,0.0,36.0,9.1,15.1,40.6,16.4,7.5,0.0,23.2,18.1,0.0,48.5,26.3,26.4,7.9,16.7,2.6,6.5,2.4,14.0,8.0,0.0,102.5,3.0,5.0,18.4,12.2,5.4,68.5,4.5,0.0,6.6,3.1,2.5,0.0,0.0
"종사상지위",무급가족종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3,0.0,0.0,91.8,8.2,0.0,0.0,0.0,0.0,0.0,2.5,34.1,42.9,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,9.8,0.0,0.0,1.4,72.4,16.4,0.0,3.2,3.2,0.0,0.0,0.0
"종사상지위",무직,197.2,18.6,8.2,18.5,7.9,6.5,33.6,2.4,0.9,4.6,15.0,6.7,5.9,4.9,17.7,0.9,149.1,22.6,10.1,38.3,7.9,11.9,0.0,8.2,5.8,2.0,364.3,21.9,8.4,19.9,12.8,13.2,4.0,1.6,16.4,7.5,1.8,550.7,13.4,2.8,8.8,6.5,5.7,67.3,18.5,0.0,20.8,6.0,4.5,0.5,0.9
"상세직업",관리자,17.4,0.0,10.7,37.4,17.9,0.0,60.7,0.0,0.0,0.0,0.0,0.0,10.8,10.8,0.0,0.0,20.5,34.2,31.9,31.4,23.3,4.7,0.0,0.0,0.0,0.0,31.0,16.3,9.2,27.9,19.6,7.1,0.0,2.4,19.2,10.4,0.0,39.6,2.6,1.6,14.2,4.7,21.8,81.9,12.8,0.0,8.3,4.4,1.0,0.0,0.0
"상세직업",전문가및관련종사자,69.7,22.2,5.3,26.5,3.6,7.0,24.9,0.0,0.0,0.0,2.2,4.3,2.0,6.0,28.1,0.0,87.0,23.0,16.0,39.2,8.7,9.6,2.7,8.1,8.3,3.5,142.6,19.3,4.7,23.2,16.8,17.2,4.4,2.8,10.4,6.4,0.0,173.5,17.9,10.0,19.2,6.6,3.7,53.7,16.7,0.6,22.6,5.3,4.4,2.9,0.2
"상세직업",사무종사자,90.8,27.6,19.6,19.1,6.3,9.2,22.3,0.0,0.0,11.1,3.0,0.0,1.6,0.0,15.1,0.0,42.3,11.1,22.5,25.6,11.4,21.6,0.0,4.4,6.4,0.0,187.4,29.6,15.7,23.3,11.0,15.9,2.4,0.0,13.6,2.1,0.0,285.8,16.8,9.2,11.8,7.2,8.2,59.7,13.1,0.4,20.9,9.3,4.3,0.0,0.6
"상세직업",서비스종사자,42.0,26.5,2.0,46.8,13.2,5.7,11.8,0.0,0.0,14.7,4.5,0.0,0.0,0.0,0.0,0.0,29.7,37.2,17.7,33.7,11.4,0.0,0.0,0.0,0.0,0.0,46.0,31.0,36.3,7.6,4.5,5.7,0.0,4.7,5.4,2.9,2.5,98.5,13.0,15.1,8.4,7.4,9.2,62.9,3.3,0.0,9.4,0.5,1.3,0.0,1.4
