"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%)
"지역",세종,45.6,4.5,45.6,77.9,60.4,79.0,10.3,83.3,19.1,31.4,88.1,12.8,79.2,18.3,11.5
"지역구분2",시부,4257.9,43.6,59.4,31.5,41.6,7113.0,36.7,63.0,20.5,34.3,7880.6,41.8,66.9,12.2,31.1
"지역구분2",군부,199.8,33.5,53.6,34.0,46.3,321.0,36.1,56.9,23.6,50.4,413.1,38.8,72.9,11.4,32.7
"종사상지위",임금근로자,2314.3,45.8,57.6,33.3,43.3,3968.0,38.7,61.9,22.6,36.0,4440.1,41.7,67.6,12.7,32.4
"종사상지위",고용주,74.4,41.5,64.0,21.8,37.8,110.0,43.4,60.9,11.1,29.2,141.0,45.8,65.0,11.7,22.5
"종사상지위",단독자영업자,322.5,31.0,55.3,23.3,47.0,535.0,33.6,64.7,10.8,35.7,622.9,35.4,66.1,5.2,29.3
"종사상지위",무급가족종사자,39.9,30.0,56.4,17.4,34.8,66.0,51.0,46.4,6.8,28.0,97.3,24.4,66.2,5.0,28.0
"종사상지위",무직,1706.6,42.3,61.8,31.7,39.3,2755.0,33.7,64.0,20.5,33.9,2992.5,43.3,67.1,13.0,30.3
"상세직업",관리자,100.1,39.3,60.9,33.1,39.4,189.0,40.0,65.6,24.0,39.0,207.6,51.9,68.9,11.3,40.2
"상세직업",전문가및관련종사자,479.3,47.7,61.3,32.4,36.1,773.0,38.0,67.2,26.1,40.1,835.7,49.4,69.8,18.2,34.2
"상세직업",사무종사자,778.8,47.8,55.6,36.5,43.4,1257.0,38.5,66.6,23.2,32.2,1443.1,38.6,67.1,12.7,27.1
"상세직업",서비스종사자,321.3,32.9,53.4,30.5,46.1,592.0,34.4,63.9,15.8,38.2,689.9,36.2,62.9,10.8,31.1
"상세직업",판매종사자,447.5,45.9,53.9,34.3,50.8,753.0,42.2,59.2,19.0,31.4,805.7,37.5,70.6,9.9,27.1
"상세직업",농림어업종사자,34.6,17.9,52.9,19.8,47.8,67.0,21.8,59.0,1.6,54.1,132.7,30.1,63.5,2.4,44.9
"상세직업",기능원및관련기능종사자,174.9,39.5,68.0,20.6,34.7,291.0,40.1,56.0,15.7,36.8,314.9,42.0,67.0,12.3,34.0
"상세직업",장치기계조작및조립종사자,228.0,47.2,62.2,29.3,48.3,381.0,43.5,56.6,17.6,33.6,453.5,38.9,69.5,7.8,37.1
