"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어,표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어,표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어,표본수,TV라디오,PC노트북,스마트기기,비디오/DVD/CD플레이어
"권역별",호남권,1178,86,3,10.1,0.8,1192,80.1,6.8,12.7,0.4,721,68.3,16.2,15.5,-,1058,65.2,6.1,28.4,0.4
"권역별",대경권,962,72.9,12.4,12.1,2.6,1504,80.8,8,11,0.2,1224,79,10.3,10.5,0.3,1307,71.8,6.2,21.4,0.6
"권역별",동남권,1540,76.6,10.4,13,0,908,71.6,7,21.2,0.2,679,83.3,3.7,13,-,815,74.3,8.2,16.9,0.7
"17개 시도별",서울,1017,68.6,10.6,17.9,2.9,1009,69.2,10.8,19.6,0.4,1525,69.4,11.5,18.9,0.3,942,65.6,10,23.8,0.6
"17개 시도별",부산,640,76.8,11.5,11.7,-,560,69.2,5.8,25,0,508,82.6,4.5,12.9,-,488,74.6,9.5,14.9,0.9
"17개 시도별",대구,498,76.8,10.6,11.2,1.3,532,74.4,13.4,12.2,0,410,75.4,13.6,11,-,494,70.2,8.4,21.4,-
"17개 시도별",인천,547,58.5,13.2,28.2,0.2,555,80.3,10.7,8.7,0.2,415,76.3,10.5,12.8,0.4,470,76.8,9.5,13.2,0.6
"17개 시도별",광주,393,81.9,2.6,14.6,0.9,420,78.1,10.6,11.1,0.2,261,58.3,26.4,15.2,-,399,62.6,2.7,34.7,-
"17개 시도별",대전,406,69.5,19.5,10.7,0.2,400,72.6,11.3,16.1,0,182,40.5,3.9,55.5,-,296,54,10.8,35.2,-
"17개 시도별",울산,295,79.8,15.6,4.6,-,348,78.6,10.3,10.4,0.7,171,85.4,1.4,13.2,-,327,73.4,4.7,21.9,-
"17개 시도별",세종,158,67.1,18.5,14.2,0.1,180,64.9,15.9,19.2,0,57,79.2,5.6,15.2,-,158,62.3,14.7,23,-
"17개 시도별",경기,1045,61.2,14.5,20.3,3.9,1184,75.1,7,17.7,0.3,1875,65.9,9.6,23.9,0.6,961,63.2,7.4,27.8,1.6
"17개 시도별",강원,387,63.7,12.4,21.5,2.4,346,86.6,5.9,7.5,0,193,67.7,15,17.1,0.2,290,66.8,6.3,26.6,0.4
"17개 시도별",충북,430,76.4,11.9,9.7,2,324,68.7,9.5,21.4,0.4,216,69.3,4.9,25.8,-,301,62.7,7.5,29.1,0.6
"17개 시도별",충남,450,73,14.9,10.9,1.2,402,72.3,10.1,17,0.6,311,72.2,15,12.2,0.6,373,65.1,12.1,22.6,0.3
"17개 시도별",전북,422,89.8,3.4,6.7,-,361,77.2,6.4,15.6,0.7,237,69.4,12,18.5,-,331,71.3,7.8,20,0.9
"17개 시도별",전남,363,85.7,3.1,9.6,1.6,411,84.8,3.8,11.3,0.2,223,79.2,8.3,12.4,-,328,62.1,8.3,29.4,0.2
"17개 시도별",경북,464,68.9,14.2,12.9,3.9,440,84.3,7.4,8.3,0,369,72.4,14,13.6,-,382,65.8,6.1,26.9,1.2
"17개 시도별",경남,605,75.4,7.6,16.9,0.1,532,83.2,4.2,12.2,0.5,445,87.6,4.2,7.5,0.7,431,77.9,4.2,17.3,0.6
"17개 시도별",제주,258,78.6,10.2,9.9,1.3,222,64.9,17.6,17.2,0.3,99,69.8,3.3,27,-,259,77.7,2.7,19.6,-
"장애여부별",해당사항없음,8166,69.8,11.7,16.4,2.1,8089,75.1,8.4,16.2,0.3,7200,70.6,10.3,18.8,0.3,7057,66.8,8.1,24.3,0.8
"장애여부별",미등록,161,75.3,14.8,8,1.9,40,75.3,18.3,6.3,0,191,73.7,11.4,14.2,0.7,65,75.6,4.1,20.2,-
"장애여부별",장애등록,51,87.6,-,10,2.3,76,84.9,10.2,4.9,0,106,88.7,3.9,7.4,-,108,86.9,3,9.4,0.6
"장애여부별",무응답,-,-,-,-,-,21,82,3.5,14.5,0,-,-,-,-,-,-,-,-,-,-
