"구분별(1)",구분별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),TV 방송 프로그램 (VOD/다시보기) (%),해외 TV 방송 프로그램 (%),실시간 TV (%),영화 (%),OTT 사업자 자체 제작 프로그램(넷플릭스 오리지널 등) (%),예능/오락(개인방송 콘텐츠 포함) (%),음악 (%),기타 (%),사례수 (명),영화 (%),예능/오락(개인방송 콘텐츠 포함) (%),드라마 (%),교양/다큐멘터리 (%),교육/학습 (%),애니메이션(만화) (%),스포츠 (%),뉴스 (%),기타 (%)
"상세직업",판매종사자,753.0,54.5,5.9,27.8,24.2,20.8,76.5,35.5,0.1,805.7,41.7,80.0,53.7,22.4,2.8,6.1,25.1,24.4,1.3
"상세직업",농림어업종사자,67.0,52.4,0.0,37.7,3.5,17.5,83.6,21.3,0.0,132.7,13.7,86.9,36.4,15.2,0.8,1.1,18.9,30.9,2.5
"상세직업",기능원및관련기능종사자,291.0,53.9,2.8,23.8,18.9,13.7,77.3,27.1,0.3,314.9,32.8,75.5,30.6,19.9,2.7,5.9,39.0,32.6,4.1
"상세직업",장치기계조작및조립종사자,381.0,56.4,7.6,19.7,21.1,15.9,74.6,26.2,0.0,453.5,37.6,75.3,33.6,20.8,3.0,1.7,46.4,43.1,1.1
"상세직업",단순노무종사자,365.0,51.7,2.8,20.8,12.7,16.5,76.4,34.0,0.2,407.3,24.1,72.8,41.7,20.3,0.7,1.7,26.2,38.7,3.5
"상세직업",직업군인,12.0,85.3,0.0,75.5,0.0,11.1,74.4,18.8,0.0,10.8,73.3,19.1,4.1,81.5,0.0,0.0,83.7,18.6,0.0
"상세직업",학생,1428.0,51.3,5.1,20.4,20.8,14.4,78.0,36.2,0.7,1489.2,38.5,87.3,35.6,14.5,29.4,33.1,12.1,6.0,1.2
"상세직업",전업주부,982.0,59.1,3.0,21.5,15.3,15.2,70.3,35.8,0.2,1073.1,32.3,77.9,62.9,21.4,7.6,4.9,6.2,26.5,3.7
"상세직업",군인(직업군인제외),5.0,63.0,0.0,71.2,0.0,0.0,100.0,52.5,0.0,7.6,32.2,100.0,40.9,59.1,40.4,0.0,18.3,9.0,0.0
"상세직업",기타/무직,340.0,45.1,3.2,16.0,22.0,17.8,80.3,26.7,0.4,422.6,31.8,71.5,35.7,22.6,7.8,8.6,35.5,30.8,4.4
"주택형태",단독주택,1495.0,54.0,4.3,25.4,15.7,20.4,73.7,34.9,0.1,1785.6,33.1,79.1,45.8,20.5,6.8,8.6,20.6,24.3,2.3
"주택형태",아파트,4292.0,55.7,4.8,22.2,22.3,18.6,74.6,31.9,0.5,4734.5,37.3,81.3,45.2,19.8,10.2,10.1,25.5,26.6,2.2
"주택형태",연립주택빌라다세대주택,1528.0,61.8,7.5,29.6,26.4,22.4,68.7,30.8,0.3,1621.7,46.2,78.9,51.5,18.7,9.1,12.7,21.5,24.8,1.0
"주택형태",비거주용건물내의주택,97.0,76.1,7.5,19.9,55.0,28.4,73.7,20.3,0.0,138.7,56.5,87.3,66.9,15.4,12.1,7.2,13.7,28.7,0.0
"주택형태",기타,23.0,85.7,0.0,64.6,58.6,0.0,41.7,25.3,0.0,13.2,78.3,100.0,88.3,2.8,0.0,2.4,3.0,18.9,0.0
"가족구성",1인가구,822.0,67.2,3.8,26.3,22.2,32.8,69.4,24.2,0.0,951.3,46.4,80.5,61.8,14.5,0.8,5.8,20.8,27.4,0.7
"가족구성",1세대가구,958.0,51.6,6.8,25.5,16.9,22.5,73.5,28.9,0.0,1263.9,29.4,73.3,42.4,20.0,3.2,4.0,21.1,35.5,4.4
"가족구성",2세대가구,5015.0,56.6,5.3,23.8,23.2,17.8,73.2,33.8,0.5,5457.4,39.3,81.9,45.1,20.7,11.9,11.9,24.7,23.7,1.7
"가족구성",3세대가구,282.0,59.2,5.4,25.0,24.1,15.8,71.2,29.3,0.2,373.7,33.0,80.8,44.1,17.2,11.7,18.7,21.8,22.5,0.7
"가족구성",기타,357.0,51.1,4.4,26.4,24.2,13.9,80.8,37.3,0.0,247.4,45.7,85.3,59.8,17.3,10.2,7.7,19.1,20.7,2.3
