"","X20c3m4","X20c4m5","X20c5m6","X20c6m7","X20c7m8","X20c8m9","X20c9m10","X20c10m11","X20c11m12","X20c1221m1","X21c1m2","X21c2m3","X21c3m4","X21c4m5","X21c5m6","X21c6m7","X21c7m8","X21c8m9","X21c9m10","X21c10m11","X21c11m12"
"X21c1m2",0.420774087692789,0.0909709397896334,0.506656475713323,0.343146214167511,-0.533859876150101,0.35004194996846,-0.0124289079623772,-0.422869605919632,0.456224104709159,0.671400086806635,-0.0715294792511126,0.0247812789233618,0.223798494240351,0.255798550185154,0.186191462765927,0.0138667254712932,-0.284351273826002,-0.099314817185693,0.0547806421170512,-0.183817304855245,0.438598107956634
"X21c2m3",0.418560231438275,-0.0487653840521248,-0.283912380739353,0.141028130931237,-0.0269812063122464,0.272275619875916,0.0426269590255193,-0.331821648424601,0.225219970106457,-0.379397472938082,-0.0253108215218207,-0.465188867415247,0.0832008414170134,-0.164722795117565,0.161253983299239,0.394203865493125,-0.428111818771888,0.172911824914671,-0.125668749507905,-0.294310817973875,0.044476639224318
"X21c3m4",-0.105244746636019,-0.364727521737266,-0.0961036951694366,0.0346655406942893,0.0313329307020163,-0.107810016537967,-0.185649230023899,0.416100512520632,-0.118479435864823,-0.515591971137712,0.120531432052176,0.209212868413158,-0.482019448669106,0.251358922650464,0.243700266811388,-0.444349535703906,0.393404729418719,0.561919948244432,-0.534617294083534,0.192527577365477,-0.0260109048273162
"X21c4m5",-0.550295707682462,0.187925235664073,-0.417778231064472,-0.42061939179165,0.509520947506127,-0.5159705370612,0.173476012592722,0.370123326004045,-0.540061930011736,-0.141043959078726,-0.148141178559545,-0.0754502830723071,0.0167810425356726,-0.201259621863415,-0.546492083776589,0.188614309851581,0.259183987503949,-0.398555146882237,0.395268916401452,0.0908353511483658,-0.410456728465264
"X21c5m6",0.103811887838876,-0.247167191533174,0.316475180475344,0.36112026481677,-0.330948406512514,0.204211060144275,-0.452762033717805,-0.081475475674312,0.188516110426765,0.0628151362674318,0.313537013521485,0.197960261270219,0.171272259397368,-0.0827361893200033,0.453879928858536,0.0887468923137368,-0.12908384957662,0.0847845616762576,-0.0224181399424576,0.295714536309085,0.310360207587559
"X21c6m7",-0.0766736598625487,-0.031884578930953,0.150221560254029,-0.220171086083985,0.0768912672904146,0.149073218692035,-0.0654435415085302,0.365682605817638,-0.320217829620192,0.0482416473139321,0.116411090644411,0.408397234936114,-0.383390763635804,0.29701519279863,0.175649112799099,-0.519270890718603,0.254957432333991,0.106505256773846,-0.351806055602497,0.224560254634276,-0.344903141502385
"X21c7m8",-0.260424548343601,0.257163465955888,-0.600358824873378,-0.130003478480833,0.513794503379496,-0.404346523072219,0.420342060159983,0.131307370586377,-0.327518490816204,-0.490832821498385,-0.31370904648024,-0.346935109418759,0.231316974106661,-0.297965111446615,-0.306843522409694,0.437721467146851,-0.0264125283832413,-0.00234187997786713,0.285088459438728,-0.114073852814948,-0.23222790089002
"X21c8m9",-0.415097072718312,-0.46711833752941,0.403572620796646,-0.055037479259454,-0.238335222947611,-0.224576163158631,-0.365375671860847,0.12141583900531,0.0453984898375916,-0.443654393618276,0.682198174642976,0.468532339725458,-0.166287036435696,-0.315867656712953,0.385017100517,-0.0873302434045398,0.0384588257744375,0.252270014117921,-0.32455891532802,0.608930994339716,-0.00490833480900089
"X21c9m10",-0.138342068174853,0.338667931190793,-0.264288633198584,-0.427848053638268,0.273117331935808,0.0721557286980029,0.249547497003077,0.260014375315413,-0.0888649298866127,-0.140147542397101,0.0534558084324575,0.24071105861733,-0.289880367895385,0.133860376265571,0.0978954191441463,-0.41835752783321,0.135806316435957,0.0700486364411705,-0.0430800315465547,0.397439810166691,-0.498963071986384
"X21c10m11",0.571673984569394,0.47329011600027,-0.160326659961166,0.373445174489315,-0.40571183560604,0.327101340118421,0.605351530189427,-0.509926435278714,0.513604845314518,0.510053516085097,-0.575066908215621,-0.403017787908519,0.539383230939713,0.232228025350493,0.00899209683542442,0.149564106656521,-0.436742128972506,0.215238728869781,0.199033440735223,-0.484743621325992,0.379255918750963
"X21c11m12",-0.383173280958514,0.109516069041492,-0.0510742559237336,-0.486632119838859,0.22030115759143,-0.212884796300315,0.290044937233659,0.297691227941299,-0.0177723906076456,-0.54584533165686,0.361828621042654,0.360878199636559,-0.0207998273257143,-0.415687405782335,0.087915477045868,0.0942777670557702,-0.0562523311870224,0.081816183164793,-0.233037554872775,0.618583575679358,-0.516354121229834
